rand_string,graph,num_priority,priority_nodes,lower_bound,upper_bound,time_period,num_patterns
0,grid_9_rand_9_1,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4000,4000,4000,3
1,grid_9_rand_9_0,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4000,4200,4000,2
2,grid_9_rand_36_0,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,5000,5000,5000,2
3,grid_9_rand_27_4,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4600,4600,4800,3
4,grid_9_rand_9_3,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4000,4400,5600,3
5,grid_9_rand_27_2,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,5000,5000,5000,2
6,grid_9_rand_36_2,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4600,4600,4600,1
7,grid_9_rand_36_1,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,5200,5200,5200,1
8,grid_9_rand_18_4,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4200,4200,4200,2
9,grid_9_rand_27_0,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4200,4400,4400,3
10,grid_9_rand_18_0,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4600,4600,4600,2
11,grid_9_rand_27_1,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4200,4400,4600,3
12,grid_9_rand_27_3,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4800,4800,4800,2
13,grid_9_rand_36_3,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,5400,6000,8800,2
14,grid_9_rand_9_4,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4200,4200,4600,3
15,grid_9_rand_36_4,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4400,4400,4400,2
16,grid_9_rand_18_2,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4200,4200,4200,3
17,grid_9_rand_18_3,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4200,4400,5200,4
18,grid_9_rand_9_2,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,4000,4000,4600,3
19,grid_9_rand_18_1,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,3800,4400,4400,3
20,grid_9_9,14,6 39 29 42 13 15 76 20 73 49 70 11 38 37,3800,4000,5400,3
