rand_string,graph,num_priority,priority_nodes,lower_bound,upper_bound,time_period,num_patterns
0,grid_6_rand_24_4,6,34 5 28 23 15 3,4600,4600,4600,1
1,grid_6_rand_12_0,6,34 5 28 23 15 3,2200,2600,2600,3
2,grid_6_rand_12_4,6,34 5 28 23 15 3,3000,3000,3000,2
3,grid_6_rand_24_0,6,34 5 28 23 15 3,4000,4000,4000,1
4,grid_6_rand_6_0,6,34 5 28 23 15 3,2200,2200,2200,1
5,grid_6_6,6,34 5 28 23 15 3,2000,2000,2000,1
6,grid_6_rand_18_0,6,34 5 28 23 15 3,3000,3000,3000,1
7,grid_6_rand_24_2,6,34 5 28 23 15 3,3800,3800,3800,1
8,grid_6_rand_18_2,6,34 5 28 23 15 3,2800,2800,2800,1
9,grid_6_rand_18_3,6,34 5 28 23 15 3,3000,3200,3200,3
10,grid_6_rand_18_1,6,34 5 28 23 15 3,3400,3400,3400,1
11,grid_6_rand_6_2,6,34 5 28 23 15 3,2000,2000,2000,1
12,grid_6_rand_6_4,6,34 5 28 23 15 3,2400,2400,2400,1
13,grid_6_rand_18_4,6,34 5 28 23 15 3,3800,3800,3800,2
14,grid_6_rand_12_3,6,34 5 28 23 15 3,3000,3000,3000,1
15,grid_6_rand_6_3,6,34 5 28 23 15 3,2200,2200,2200,1
16,grid_6_rand_6_1,6,34 5 28 23 15 3,2000,2000,2000,1
17,grid_6_rand_24_1,6,34 5 28 23 15 3,4000,4000,4000,1
18,grid_6_rand_24_3,6,34 5 28 23 15 3,4000,4000,4000,1
19,grid_6_rand_12_1,6,34 5 28 23 15 3,3200,3200,3200,1
20,grid_6_rand_12_2,6,34 5 28 23 15 3,2400,2400,2400,2
21,grid_6_rand_24_4,7,9 12 23 14 31 29 3,4400,4400,4400,1
22,grid_6_rand_12_0,7,9 12 23 14 31 29 3,2800,2800,2800,2
23,grid_6_rand_12_4,7,9 12 23 14 31 29 3,2800,3000,3800,3
24,grid_6_rand_24_0,7,9 12 23 14 31 29 3,5000,5000,5000,2
25,grid_6_rand_6_0,7,9 12 23 14 31 29 3,2400,2400,3000,2
26,grid_6_6,7,9 12 23 14 31 29 3,2200,2400,2200,2
27,grid_6_rand_18_0,7,9 12 23 14 31 29 3,2800,2800,2800,2
28,grid_6_rand_24_2,7,9 12 23 14 31 29 3,3800,3800,3800,1
29,grid_6_rand_18_2,7,9 12 23 14 31 29 3,2800,3000,3400,3
30,grid_6_rand_18_3,7,9 12 23 14 31 29 3,3000,3000,3000,1
31,grid_6_rand_18_1,7,9 12 23 14 31 29 3,3400,3400,3400,1
32,grid_6_rand_6_2,7,9 12 23 14 31 29 3,2400,2400,2400,1
33,grid_6_rand_6_4,7,9 12 23 14 31 29 3,2600,2600,3800,2
34,grid_6_rand_18_4,7,9 12 23 14 31 29 3,3600,3600,3600,2
35,grid_6_rand_12_3,7,9 12 23 14 31 29 3,3200,3200,3200,2
36,grid_6_rand_6_3,7,9 12 23 14 31 29 3,2600,2600,2600,2
37,grid_6_rand_6_1,7,9 12 23 14 31 29 3,2800,2800,2800,1
38,grid_6_rand_24_1,7,9 12 23 14 31 29 3,3800,4000,4000,3
39,grid_6_rand_24_3,7,9 12 23 14 31 29 3,3800,3800,3800,1
40,grid_6_rand_12_1,7,9 12 23 14 31 29 3,3000,3000,3000,2
41,grid_6_rand_12_2,7,9 12 23 14 31 29 3,3000,3000,3000,2
42,grid_6_rand_24_4,8,21 3 7 13 31 35 9 16,4400,4400,4600,3
43,grid_6_rand_12_0,8,21 3 7 13 31 35 9 16,2600,2600,2600,1
44,grid_6_rand_12_4,8,21 3 7 13 31 35 9 16,2800,2800,2800,2
45,grid_6_rand_24_0,8,21 3 7 13 31 35 9 16,5000,5000,5000,1
