rand_string,graph,num_priority,priority_nodes,lower_bound,upper_bound,time_period,num_patterns
0,grid_5_rand_4_2,4,15 0 13 3,1800,1800,1800,2
1,grid_5_rand_16_1,4,15 0 13 3,3200,3200,3200,1
2,grid_5_rand_8_4,4,15 0 13 3,2200,2200,2200,1
3,grid_5_rand_16_4,4,15 0 13 3,3600,3600,3600,1
4,grid_5_rand_12_1,4,15 0 13 3,2200,2200,2200,1
5,grid_5_rand_8_0,4,15 0 13 3,2200,2200,2200,1
6,grid_5_rand_4_3,4,15 0 13 3,1800,1800,1800,1
7,grid_5_5,4,15 0 13 3,1600,1600,1600,1
8,grid_5_rand_16_3,4,15 0 13 3,2600,2600,2600,1
9,grid_5_rand_4_4,4,15 0 13 3,1800,1800,1800,2
10,grid_5_rand_12_4,4,15 0 13 3,2400,2400,2400,2
11,grid_5_rand_16_0,4,15 0 13 3,2400,2400,2400,2
12,grid_5_rand_8_3,4,15 0 13 3,2200,2200,2200,1
13,grid_5_rand_12_2,4,15 0 13 3,2200,2200,2200,2
14,grid_5_rand_8_1,4,15 0 13 3,1800,1800,1800,1
15,grid_5_rand_4_1,4,15 0 13 3,1600,1600,1600,1
16,grid_5_rand_12_0,4,15 0 13 3,2400,2400,2400,1
17,grid_5_rand_12_3,4,15 0 13 3,2600,2600,2600,1
18,grid_5_rand_4_0,4,15 0 13 3,1800,1800,1800,1
19,grid_5_rand_16_2,4,15 0 13 3,2800,2800,2800,1
20,grid_5_rand_8_2,4,15 0 13 3,1800,1800,1800,2
21,grid_5_rand_4_2,5,22 7 5 0 9,1600,1800,2200,3
22,grid_5_rand_16_1,5,22 7 5 0 9,3400,3400,3400,1
23,grid_5_rand_8_4,5,22 7 5 0 9,2400,2400,2400,2
24,grid_5_rand_16_4,5,22 7 5 0 9,3600,3600,3600,1
25,grid_5_rand_12_1,5,22 7 5 0 9,2600,2600,2600,1
26,grid_5_rand_8_0,5,22 7 5 0 9,2200,2200,2200,1
27,grid_5_rand_4_3,5,22 7 5 0 9,1800,1800,1800,2
28,grid_5_5,5,22 7 5 0 9,1600,1800,1600,3
29,grid_5_rand_16_3,5,22 7 5 0 9,3200,3200,3200,1
30,grid_5_rand_4_4,5,22 7 5 0 9,1800,2000,2200,3
31,grid_5_rand_12_4,5,22 7 5 0 9,2600,2600,2600,1
