rand_string,graph,num_priority,priority_nodes,lower_bound,upper_bound,time_period,num_patterns
0,grid_7_rand_28_4,8,34 25 17 36 8 10 45 39,5200,5200,5200,2
1,grid_7_rand_14_2,8,34 25 17 36 8 10 45 39,3000,3000,3000,1
2,grid_7_rand_28_2,8,34 25 17 36 8 10 45 39,5400,5400,5400,1
3,grid_7_rand_21_0,8,34 25 17 36 8 10 45 39,3200,3200,3200,2
4,grid_7_rand_21_4,8,34 25 17 36 8 10 45 39,3400,3600,4600,3
5,grid_7_rand_28_3,8,34 25 17 36 8 10 45 39,4600,4600,4600,1
6,grid_7_rand_14_0,8,34 25 17 36 8 10 45 39,2800,2800,2800,1
7,grid_7_rand_7_2,8,34 25 17 36 8 10 45 39,2800,2800,2800,2
8,grid_7_rand_7_0,8,34 25 17 36 8 10 45 39,2800,3000,3800,3
9,grid_7_rand_21_1,8,34 25 17 36 8 10 45 39,4000,4000,4000,2
10,grid_7_rand_14_4,8,34 25 17 36 8 10 45 39,3200,3200,4000,2
11,grid_7_rand_21_2,8,34 25 17 36 8 10 45 39,3000,3000,3000,3
12,grid_7_rand_7_3,8,34 25 17 36 8 10 45 39,2800,2800,2800,2
13,grid_7_rand_7_1,8,34 25 17 36 8 10 45 39,2800,3000,2800,2
14,grid_7_rand_28_0,8,34 25 17 36 8 10 45 39,4600,4600,4600,1
15,grid_7_rand_14_3,8,34 25 17 36 8 10 45 39,2800,2800,2800,2
16,grid_7_rand_14_1,8,34 25 17 36 8 10 45 39,3000,3000,3000,2
17,grid_7_rand_7_4,8,34 25 17 36 8 10 45 39,2600,2600,2600,2
18,grid_7_rand_21_3,8,34 25 17 36 8 10 45 39,2800,2800,2800,2
19,grid_7_7,8,34 25 17 36 8 10 45 39,2600,2600,2600,2
20,grid_7_rand_28_1,8,34 25 17 36 8 10 45 39,4000,4000,4000,1
21,grid_7_rand_28_4,9,4 13 32 6 0 38 3 34 8,5400,5400,5400,1
22,grid_7_rand_14_2,9,4 13 32 6 0 38 3 34 8,3200,3200,3200,1
23,grid_7_rand_28_2,9,4 13 32 6 0 38 3 34 8,5400,5400,5400,2
24,grid_7_rand_21_0,9,4 13 32 6 0 38 3 34 8,4000,4000,4000,1
25,grid_7_rand_21_4,9,4 13 32 6 0 38 3 34 8,3200,3200,3200,1
26,grid_7_rand_28_3,9,4 13 32 6 0 38 3 34 8,4600,4600,4600,2
27,grid_7_rand_14_0,9,4 13 32 6 0 38 3 34 8,3000,3000,3000,2
28,grid_7_rand_7_2,9,4 13 32 6 0 38 3 34 8,3200,3200,3200,1
29,grid_7_rand_7_0,9,4 13 32 6 0 38 3 34 8,3000,3000,3000,2
30,grid_7_rand_21_1,9,4 13 32 6 0 38 3 34 8,4800,4800,4800,2
31,grid_7_rand_14_4,9,4 13 32 6 0 38 3 34 8,3400,3400,3400,1
32,grid_7_rand_21_2,9,4 13 32 6 0 38 3 34 8,3200,3200,3200,3
33,grid_7_rand_7_3,9,4 13 32 6 0 38 3 34 8,3000,3000,3000,1
34,grid_7_rand_7_1,9,4 13 32 6 0 38 3 34 8,2800,2800,2800,3
35,grid_7_rand_28_0,9,4 13 32 6 0 38 3 34 8,4800,4800,4800,1
36,grid_7_rand_14_3,9,4 13 32 6 0 38 3 34 8,3600,3600,3600,1
37,grid_7_rand_14_1,9,4 13 32 6 0 38 3 34 8,3400,3400,3400,3
38,grid_7_rand_7_4,9,4 13 32 6 0 38 3 34 8,3200,3200,3200,2
39,grid_7_rand_21_3,9,4 13 32 6 0 38 3 34 8,3400,3400,3400,2
40,grid_7_7,9,4 13 32 6 0 38 3 34 8,2600,2600,2600,2
41,grid_7_rand_28_1,9,4 13 32 6 0 38 3 34 8,5400,5400,5400,2
42,grid_7_rand_28_4,10,40 2 10 3 25 38 22 7 47 13,5400,5400,5400,2
43,grid_7_rand_14_2,10,40 2 10 3 25 38 22 7 47 13,3000,3000,3000,1
44,grid_7_rand_28_2,10,40 2 10 3 25 38 22 7 47 13,5400,5400,5400,1
45,grid_7_rand_21_0,10,40 2 10 3 25 38 22 7 47 13,3600,3600,3600,1
46,grid_7_rand_21_4,10,40 2 10 3 25 38 22 7 47 13,3800,3800,3800,1
47,grid_7_rand_28_3,10,40 2 10 3 25 38 22 7 47 13,5000,5000,5000,2
48,grid_7_rand_14_0,10,40 2 10 3 25 38 22 7 47 13,3400,3400,3400,1
49,grid_7_rand_7_2,10,40 2 10 3 25 38 22 7 47 13,3000,3000,3000,2
50,grid_7_rand_7_0,10,40 2 10 3 25 38 22 7 47 13,3000,3000,3000,2
51,grid_7_rand_21_1,10,40 2 10 3 25 38 22 7 47 13,4200,4200,4200,2
52,grid_7_rand_14_4,10,40 2 10 3 25 38 22 7 47 13,3600,3600,3600,2
53,grid_7_rand_21_2,10,40 2 10 3 25 38 22 7 47 13,3800,4000,4400,2
54,grid_7_rand_7_3,10,40 2 10 3 25 38 22 7 47 13,2800,3000,4200,2
55,grid_7_rand_7_1,10,40 2 10 3 25 38 22 7 47 13,3000,3000,3000,1
56,grid_7_rand_28_0,10,40 2 10 3 25 38 22 7 47 13,5400,5400,5400,2
57,grid_7_rand_14_3,10,40 2 10 3 25 38 22 7 47 13,3800,3800,3800,1
58,grid_7_rand_14_1,10,40 2 10 3 25 38 22 7 47 13,3600,3800,5600,3
59,grid_7_rand_7_4,10,40 2 10 3 25 38 22 7 47 13,3400,3400,3400,2
60,grid_7_rand_21_3,10,40 2 10 3 25 38 22 7 47 13,3400,3400,3400,1
61,grid_7_7,10,40 2 10 3 25 38 22 7 47 13,2800,3000,3800,2
62,grid_7_rand_28_1,10,40 2 10 3 25 38 22 7 47 13,4600,4600,5600,2
63,grid_7_rand_28_4,11,39 48 34 42 21 35 0 7 1 40 3,6200,6200,6200,1
64,grid_7_rand_14_2,11,39 48 34 42 21 35 0 7 1 40 3,4000,4000,5000,2
65,grid_7_rand_28_2,11,39 48 34 42 21 35 0 7 1 40 3,6000,6000,6000,2
66,grid_7_rand_21_0,11,39 48 34 42 21 35 0 7 1 40 3,4200,4200,4200,1
67,grid_7_rand_21_4,11,39 48 34 42 21 35 0 7 1 40 3,3800,3800,3800,2
68,grid_7_rand_28_3,11,39 48 34 42 21 35 0 7 1 40 3,6000,6000,6000,1
69,grid_7_rand_14_0,11,39 48 34 42 21 35 0 7 1 40 3,3200,3200,3200,2
70,grid_7_rand_7_2,11,39 48 34 42 21 35 0 7 1 40 3,3400,3400,3400,1
71,grid_7_rand_7_0,11,39 48 34 42 21 35 0 7 1 40 3,3000,3000,3000,1
72,grid_7_rand_21_1,11,39 48 34 42 21 35 0 7 1 40 3,5000,5000,5000,1
73,grid_7_rand_14_4,11,39 48 34 42 21 35 0 7 1 40 3,3600,3600,3600,2
74,grid_7_rand_21_2,11,39 48 34 42 21 35 0 7 1 40 3,3800,3800,3800,1
75,grid_7_rand_7_3,11,39 48 34 42 21 35 0 7 1 40 3,3200,3200,3200,1
76,grid_7_rand_7_1,11,39 48 34 42 21 35 0 7 1 40 3,3200,3200,3200,1
77,grid_7_rand_28_0,11,39 48 34 42 21 35 0 7 1 40 3,5600,5600,5600,1
78,grid_7_rand_14_3,11,39 48 34 42 21 35 0 7 1 40 3,3600,3600,3600,2
79,grid_7_rand_14_1,11,39 48 34 42 21 35 0 7 1 40 3,3200,3200,3200,3
80,grid_7_rand_7_4,11,39 48 34 42 21 35 0 7 1 40 3,3200,3200,3200,2
81,grid_7_rand_21_3,11,39 48 34 42 21 35 0 7 1 40 3,4200,4200,4200,2
82,grid_7_7,11,39 48 34 42 21 35 0 7 1 40 3,2800,2800,2800,3
83,grid_7_rand_28_1,11,39 48 34 42 21 35 0 7 1 40 3,6400,6400,6400,1
84,grid_7_rand_28_4,12,9 6 8 23 38 24 28 26 33 18 13 14,6200,6200,6200,1
85,grid_7_rand_14_2,12,9 6 8 23 38 24 28 26 33 18 13 14,3800,3800,3800,2
86,grid_7_rand_28_2,12,9 6 8 23 38 24 28 26 33 18 13 14,5600,5600,5600,2
87,grid_7_rand_21_0,12,9 6 8 23 38 24 28 26 33 18 13 14,3800,3800,3800,2
88,grid_7_rand_21_4,12,9 6 8 23 38 24 28 26 33 18 13 14,3800,3800,3800,1
89,grid_7_rand_28_3,12,9 6 8 23 38 24 28 26 33 18 13 14,4200,4200,4200,1
90,grid_7_rand_14_0,12,9 6 8 23 38 24 28 26 33 18 13 14,3200,3400,5200,3
91,grid_7_rand_7_2,12,9 6 8 23 38 24 28 26 33 18 13 14,3400,3400,3400,1
92,grid_7_rand_7_0,12,9 6 8 23 38 24 28 26 33 18 13 14,3000,3000,3000,2
93,grid_7_rand_21_1,12,9 6 8 23 38 24 28 26 33 18 13 14,4200,4400,4800,3
94,grid_7_rand_14_4,12,9 6 8 23 38 24 28 26 33 18 13 14,3800,4000,3800,2
95,grid_7_rand_21_2,12,9 6 8 23 38 24 28 26 33 18 13 14,3200,3200,3200,2
96,grid_7_rand_7_3,12,9 6 8 23 38 24 28 26 33 18 13 14,3000,3000,3000,1
97,grid_7_rand_7_1,12,9 6 8 23 38 24 28 26 33 18 13 14,3000,3000,3000,1
98,grid_7_rand_28_0,12,9 6 8 23 38 24 28 26 33 18 13 14,5000,5000,5000,3
99,grid_7_rand_14_3,12,9 6 8 23 38 24 28 26 33 18 13 14,3800,3800,3800,3
100,grid_7_rand_14_1,12,9 6 8 23 38 24 28 26 33 18 13 14,3800,3800,3800,2
101,grid_7_rand_7_4,12,9 6 8 23 38 24 28 26 33 18 13 14,3000,3200,3800,2
102,grid_7_rand_21_3,12,9 6 8 23 38 24 28 26 33 18 13 14,3000,3000,3000,1
103,grid_7_7,12,9 6 8 23 38 24 28 26 33 18 13 14,3000,3000,3000,2
104,grid_7_rand_28_1,12,9 6 8 23 38 24 28 26 33 18 13 14,5200,5200,5200,1
105,grid_7_rand_28_4,8,30 2 48 38 46 28 4 6,5800,5800,5800,2
106,grid_7_rand_14_2,8,30 2 48 38 46 28 4 6,3800,3800,3800,2
107,grid_7_rand_28_2,8,30 2 48 38 46 28 4 6,5200,5200,5200,2
108,grid_7_rand_21_0,8,30 2 48 38 46 28 4 6,4200,4200,4200,2
