rand_string,graph,num_priority,priority_nodes,lower_bound,upper_bound,time_period,num_patterns
109,grid_7_rand_21_4,8,30 2 48 38 46 28 4 6,3600,3600,3600,3
110,grid_7_rand_28_3,8,30 2 48 38 46 28 4 6,4400,4400,4400,2
111,grid_7_rand_14_0,8,30 2 48 38 46 28 4 6,3200,3200,3200,1
112,grid_7_rand_7_2,8,30 2 48 38 46 28 4 6,3200,3200,3200,3
113,grid_7_rand_7_0,8,30 2 48 38 46 28 4 6,3000,3000,4400,3
114,grid_7_rand_21_1,8,30 2 48 38 46 28 4 6,5200,5200,5200,2
115,grid_7_rand_14_4,8,30 2 48 38 46 28 4 6,3600,3600,3600,1
116,grid_7_rand_21_2,8,30 2 48 38 46 28 4 6,4000,4000,4000,2
117,grid_7_rand_7_3,8,30 2 48 38 46 28 4 6,3200,3200,3200,2
118,grid_7_rand_7_1,8,30 2 48 38 46 28 4 6,2800,3000,4200,3
119,grid_7_rand_28_0,8,30 2 48 38 46 28 4 6,5200,5200,5200,2
120,grid_7_rand_14_3,8,30 2 48 38 46 28 4 6,3600,3600,3600,2
121,grid_7_rand_14_1,8,30 2 48 38 46 28 4 6,3600,3600,3600,2
122,grid_7_rand_7_4,8,30 2 48 38 46 28 4 6,3600,3600,5200,3
123,grid_7_rand_21_3,8,30 2 48 38 46 28 4 6,3600,3800,5200,2
124,grid_7_7,8,30 2 48 38 46 28 4 6,2800,2800,3600,2
125,grid_7_rand_28_1,8,30 2 48 38 46 28 4 6,5000,5000,5000,3
126,grid_7_rand_28_4,9,26 4 3 43 1 39 25 28 40,5400,5400,5400,1
127,grid_7_rand_14_2,9,26 4 3 43 1 39 25 28 40,3400,3400,3400,2
128,grid_7_rand_28_2,9,26 4 3 43 1 39 25 28 40,5800,5800,5800,2
129,grid_7_rand_21_0,9,26 4 3 43 1 39 25 28 40,3400,3400,3400,2
130,grid_7_rand_21_4,9,26 4 3 43 1 39 25 28 40,3600,3600,3600,1
131,grid_7_rand_28_3,9,26 4 3 43 1 39 25 28 40,4600,4600,6800,2
132,grid_7_rand_14_0,9,26 4 3 43 1 39 25 28 40,2800,2800,2800,2
133,grid_7_rand_7_2,9,26 4 3 43 1 39 25 28 40,2800,2800,2800,2
134,grid_7_rand_7_0,9,26 4 3 43 1 39 25 28 40,3000,3000,3000,2
135,grid_7_rand_21_1,9,26 4 3 43 1 39 25 28 40,4400,4400,4400,1
136,grid_7_rand_14_4,9,26 4 3 43 1 39 25 28 40,2800,2800,2800,1
137,grid_7_rand_21_2,9,26 4 3 43 1 39 25 28 40,3400,3400,3400,3
138,grid_7_rand_7_3,9,26 4 3 43 1 39 25 28 40,3200,3200,3200,2
139,grid_7_rand_7_1,9,26 4 3 43 1 39 25 28 40,2800,2800,3800,3
140,grid_7_rand_28_0,9,26 4 3 43 1 39 25 28 40,5000,5000,5000,2
141,grid_7_rand_14_3,9,26 4 3 43 1 39 25 28 40,3400,3400,3400,1
142,grid_7_rand_14_1,9,26 4 3 43 1 39 25 28 40,2800,2800,2800,1
143,grid_7_rand_7_4,9,26 4 3 43 1 39 25 28 40,3200,3200,4200,3
144,grid_7_rand_21_3,9,26 4 3 43 1 39 25 28 40,3200,3200,5200,3
145,grid_7_7,9,26 4 3 43 1 39 25 28 40,2600,2600,2600,2
146,grid_7_rand_28_1,9,26 4 3 43 1 39 25 28 40,5000,5000,5000,1
147,grid_7_rand_28_4,10,15 5 19 29 32 20 46 1 18 48,5800,5800,5800,1
148,grid_7_rand_14_2,10,15 5 19 29 32 20 46 1 18 48,3600,3600,3600,2
149,grid_7_rand_28_2,10,15 5 19 29 32 20 46 1 18 48,5000,5000,5000,1
150,grid_7_rand_21_0,10,15 5 19 29 32 20 46 1 18 48,4000,4000,4000,2
151,grid_7_rand_21_4,10,15 5 19 29 32 20 46 1 18 48,3800,3800,3800,1
152,grid_7_rand_28_3,10,15 5 19 29 32 20 46 1 18 48,4800,4800,4800,2
153,grid_7_rand_14_0,10,15 5 19 29 32 20 46 1 18 48,3200,3200,3200,1
154,grid_7_rand_7_2,10,15 5 19 29 32 20 46 1 18 48,3200,3600,4600,3
155,grid_7_rand_7_0,10,15 5 19 29 32 20 46 1 18 48,3400,3400,3400,2
156,grid_7_rand_21_1,10,15 5 19 29 32 20 46 1 18 48,4800,4800,4800,1
157,grid_7_rand_14_4,10,15 5 19 29 32 20 46 1 18 48,3200,3200,3200,2
158,grid_7_rand_21_2,10,15 5 19 29 32 20 46 1 18 48,4200,4200,4200,2
159,grid_7_rand_7_3,10,15 5 19 29 32 20 46 1 18 48,3600,3600,4800,3
160,grid_7_rand_7_1,10,15 5 19 29 32 20 46 1 18 48,3000,3000,3000,3
161,grid_7_rand_28_0,10,15 5 19 29 32 20 46 1 18 48,5200,5200,5200,3
162,grid_7_rand_14_3,10,15 5 19 29 32 20 46 1 18 48,3200,3200,3200,2
163,grid_7_rand_14_1,10,15 5 19 29 32 20 46 1 18 48,3400,3400,3400,2
164,grid_7_rand_7_4,10,15 5 19 29 32 20 46 1 18 48,3000,3200,4600,3
165,grid_7_rand_21_3,10,15 5 19 29 32 20 46 1 18 48,3600,3800,4000,2
166,grid_7_7,10,15 5 19 29 32 20 46 1 18 48,2800,2800,2800,2
167,grid_7_rand_28_1,10,15 5 19 29 32 20 46 1 18 48,4800,4800,4800,2
168,grid_7_rand_28_4,11,27 45 38 25 22 10 15 33 43 46 12,5200,5200,5200,1
169,grid_7_rand_14_2,11,27 45 38 25 22 10 15 33 43 46 12,2800,2800,2800,1
170,grid_7_rand_28_2,11,27 45 38 25 22 10 15 33 43 46 12,5400,5400,5400,1
171,grid_7_rand_21_0,11,27 45 38 25 22 10 15 33 43 46 12,3200,3200,3200,1
172,grid_7_rand_21_4,11,27 45 38 25 22 10 15 33 43 46 12,4000,4000,4000,2
173,grid_7_rand_28_3,11,27 45 38 25 22 10 15 33 43 46 12,5200,5200,5200,1
174,grid_7_rand_14_0,11,27 45 38 25 22 10 15 33 43 46 12,3400,3400,3400,2
175,grid_7_rand_7_2,11,27 45 38 25 22 10 15 33 43 46 12,2800,2800,2800,1
176,grid_7_rand_7_0,11,27 45 38 25 22 10 15 33 43 46 12,3200,3200,3200,3
177,grid_7_rand_21_1,11,27 45 38 25 22 10 15 33 43 46 12,4600,4600,4600,1
178,grid_7_rand_14_4,11,27 45 38 25 22 10 15 33 43 46 12,3000,3200,4800,3
179,grid_7_rand_21_2,11,27 45 38 25 22 10 15 33 43 46 12,4000,4000,4000,3
180,grid_7_rand_7_3,11,27 45 38 25 22 10 15 33 43 46 12,3200,3200,3200,2
181,grid_7_rand_7_1,11,27 45 38 25 22 10 15 33 43 46 12,3200,3200,3200,3
182,grid_7_rand_28_0,11,27 45 38 25 22 10 15 33 43 46 12,5400,5400,5400,1
183,grid_7_rand_14_3,11,27 45 38 25 22 10 15 33 43 46 12,3000,3000,3000,1
184,grid_7_rand_14_1,11,27 45 38 25 22 10 15 33 43 46 12,3400,3400,3400,2
185,grid_7_rand_7_4,11,27 45 38 25 22 10 15 33 43 46 12,2800,2800,2800,2
186,grid_7_rand_21_3,11,27 45 38 25 22 10 15 33 43 46 12,3400,3400,3400,1
187,grid_7_7,11,27 45 38 25 22 10 15 33 43 46 12,2800,2800,2800,3
188,grid_7_rand_28_1,11,27 45 38 25 22 10 15 33 43 46 12,4800,4800,4800,2
189,grid_7_rand_28_4,12,19 9 6 17 10 46 47 31 2 43 15 27,6000,6000,6000,2
190,grid_7_rand_14_2,12,19 9 6 17 10 46 47 31 2 43 15 27,3600,3600,4400,3
191,grid_7_rand_28_2,12,19 9 6 17 10 46 47 31 2 43 15 27,6200,6200,6200,2
192,grid_7_rand_21_0,12,19 9 6 17 10 46 47 31 2 43 15 27,4000,4000,6200,3
193,grid_7_rand_21_4,12,19 9 6 17 10 46 47 31 2 43 15 27,4200,4200,4200,2
194,grid_7_rand_28_3,12,19 9 6 17 10 46 47 31 2 43 15 27,5600,5600,5600,2
195,grid_7_rand_14_0,12,19 9 6 17 10 46 47 31 2 43 15 27,3400,3400,3400,3
196,grid_7_rand_7_2,12,19 9 6 17 10 46 47 31 2 43 15 27,3400,3400,4600,3
197,grid_7_rand_7_0,12,19 9 6 17 10 46 47 31 2 43 15 27,3400,3400,4400,3
198,grid_7_rand_21_1,12,19 9 6 17 10 46 47 31 2 43 15 27,4800,4800,4800,1
199,grid_7_rand_14_4,12,19 9 6 17 10 46 47 31 2 43 15 27,3600,3600,3600,2
200,grid_7_rand_21_2,12,19 9 6 17 10 46 47 31 2 43 15 27,4000,4200,4000,2
201,grid_7_rand_7_3,12,19 9 6 17 10 46 47 31 2 43 15 27,3600,3800,4200,3
202,grid_7_rand_7_1,12,19 9 6 17 10 46 47 31 2 43 15 27,3200,3400,3600,3
203,grid_7_rand_28_0,12,19 9 6 17 10 46 47 31 2 43 15 27,5800,5800,5800,1
204,grid_7_rand_14_3,12,19 9 6 17 10 46 47 31 2 43 15 27,3600,3600,3600,1
205,grid_7_rand_14_1,12,19 9 6 17 10 46 47 31 2 43 15 27,4400,4400,4400,2
206,grid_7_rand_7_4,12,19 9 6 17 10 46 47 31 2 43 15 27,3400,3400,4400,3
207,grid_7_rand_21_3,12,19 9 6 17 10 46 47 31 2 43 15 27,3800,3800,3800,1
208,grid_7_7,12,19 9 6 17 10 46 47 31 2 43 15 27,3200,3200,3200,2
209,grid_7_rand_28_1,12,19 9 6 17 10 46 47 31 2 43 15 27,5400,5400,5400,1
210,grid_7_rand_28_4,8,35 30 48 42 25 5 27 45,5400,5400,5400,1
211,grid_7_rand_14_2,8,35 30 48 42 25 5 27 45,3800,3800,5800,3
212,grid_7_rand_28_2,8,35 30 48 42 25 5 27 45,4800,5200,6600,2
213,grid_7_rand_21_0,8,35 30 48 42 25 5 27 45,3600,4200,5000,3
214,grid_7_rand_21_4,8,35 30 48 42 25 5 27 45,3600,3600,3600,2
215,grid_7_rand_28_3,8,35 30 48 42 25 5 27 45,5000,5000,5000,2
216,grid_7_rand_14_0,8,35 30 48 42 25 5 27 45,3800,3800,3800,3
217,grid_7_rand_7_2,8,35 30 48 42 25 5 27 45,3400,3400,3600,3
218,grid_7_rand_7_0,8,35 30 48 42 25 5 27 45,3200,3200,3200,1
219,grid_7_rand_21_1,8,35 30 48 42 25 5 27 45,4800,5000,5400,3
220,grid_7_rand_14_4,8,35 30 48 42 25 5 27 45,3600,3800,4600,3
221,grid_7_rand_21_2,8,35 30 48 42 25 5 27 45,4600,4600,4600,1
222,grid_7_rand_7_3,8,35 30 48 42 25 5 27 45,3600,3600,3600,2
223,grid_7_rand_7_1,8,35 30 48 42 25 5 27 45,3200,3200,3200,3
224,grid_7_rand_28_0,8,35 30 48 42 25 5 27 45,5800,5800,5800,1
225,grid_7_rand_14_3,8,35 30 48 42 25 5 27 45,3600,3600,3600,4
226,grid_7_rand_14_1,8,35 30 48 42 25 5 27 45,3400,3600,3400,2
227,grid_7_rand_7_4,8,35 30 48 42 25 5 27 45,3400,3400,3400,2
228,grid_7_rand_21_3,8,35 30 48 42 25 5 27 45,4200,4200,4200,2
229,grid_7_7,8,35 30 48 42 25 5 27 45,3000,3000,3000,2
230,grid_7_rand_28_1,8,35 30 48 42 25 5 27 45,5800,5800,5800,2
231,grid_7_rand_28_4,9,41 13 48 6 11 18 35 14 0,6200,6200,6200,1
232,grid_7_rand_14_2,9,41 13 48 6 11 18 35 14 0,4000,4200,4800,3
233,grid_7_rand_28_2,9,41 13 48 6 11 18 35 14 0,5600,5600,5600,2
234,grid_7_rand_21_0,9,41 13 48 6 11 18 35 14 0,4400,4400,4400,1
235,grid_7_rand_21_4,9,41 13 48 6 11 18 35 14 0,4200,4200,4400,2
236,grid_7_rand_28_3,9,41 13 48 6 11 18 35 14 0,5600,5600,5600,2
237,grid_7_rand_14_0,9,41 13 48 6 11 18 35 14 0,3400,3400,3400,3
238,grid_7_rand_7_2,9,41 13 48 6 11 18 35 14 0,3600,3800,4800,3
239,grid_7_rand_7_0,9,41 13 48 6 11 18 35 14 0,3000,3000,3200,3
240,grid_7_rand_21_1,9,41 13 48 6 11 18 35 14 0,4800,4800,4800,1
241,grid_7_rand_14_4,9,41 13 48 6 11 18 35 14 0,4200,4200,4200,2
242,grid_7_rand_21_2,9,41 13 48 6 11 18 35 14 0,3400,3800,4600,3
243,grid_7_rand_7_3,9,41 13 48 6 11 18 35 14 0,3000,3000,3000,2
244,grid_7_rand_7_1,9,41 13 48 6 11 18 35 14 0,3400,3400,3400,2
245,grid_7_rand_28_0,9,41 13 48 6 11 18 35 14 0,5000,5000,5000,1
246,grid_7_rand_14_3,9,41 13 48 6 11 18 35 14 0,3600,3600,3600,3
247,grid_7_rand_14_1,9,41 13 48 6 11 18 35 14 0,3400,3600,5400,3
248,grid_7_rand_7_4,9,41 13 48 6 11 18 35 14 0,3000,3200,3400,3
249,grid_7_rand_21_3,9,41 13 48 6 11 18 35 14 0,4000,4000,4000,3
250,grid_7_7,9,41 13 48 6 11 18 35 14 0,3000,3000,3000,2
251,grid_7_rand_28_1,9,41 13 48 6 11 18 35 14 0,5800,5800,5800,2
252,grid_7_rand_28_4,10,46 18 10 13 9 31 34 37 45 42,5600,5600,5600,1
253,grid_7_rand_14_2,10,46 18 10 13 9 31 34 37 45 42,3400,3400,3400,2
254,grid_7_rand_28_2,10,46 18 10 13 9 31 34 37 45 42,6000,6000,6000,2
255,grid_7_rand_21_0,10,46 18 10 13 9 31 34 37 45 42,3600,3600,3600,2
256,grid_7_rand_21_4,10,46 18 10 13 9 31 34 37 45 42,4400,4400,4400,1
257,grid_7_rand_28_3,10,46 18 10 13 9 31 34 37 45 42,4600,4600,4600,1
258,grid_7_rand_14_0,10,46 18 10 13 9 31 34 37 45 42,3400,3400,3400,2
259,grid_7_rand_7_2,10,46 18 10 13 9 31 34 37 45 42,3600,3600,5600,3
260,grid_7_rand_7_0,10,46 18 10 13 9 31 34 37 45 42,3200,3200,3200,2
261,grid_7_rand_21_1,10,46 18 10 13 9 31 34 37 45 42,4600,4600,4600,2
262,grid_7_rand_14_4,10,46 18 10 13 9 31 34 37 45 42,4000,4000,4000,2
263,grid_7_rand_21_2,10,46 18 10 13 9 31 34 37 45 42,3800,3800,3800,2
264,grid_7_rand_7_3,10,46 18 10 13 9 31 34 37 45 42,3000,3400,3400,3
265,grid_7_rand_7_1,10,46 18 10 13 9 31 34 37 45 42,3000,3200,3600,3
266,grid_7_rand_28_0,10,46 18 10 13 9 31 34 37 45 42,4600,5000,5400,2
267,grid_7_rand_14_3,10,46 18 10 13 9 31 34 37 45 42,3400,3400,3400,2
268,grid_7_rand_14_1,10,46 18 10 13 9 31 34 37 45 42,3800,3800,3800,2
269,grid_7_rand_7_4,10,46 18 10 13 9 31 34 37 45 42,3200,3200,4400,3
270,grid_7_rand_21_3,10,46 18 10 13 9 31 34 37 45 42,3800,4000,6200,3
271,grid_7_7,10,46 18 10 13 9 31 34 37 45 42,3000,3000,3000,2
272,grid_7_rand_28_1,10,46 18 10 13 9 31 34 37 45 42,5400,5400,5400,2
273,grid_7_rand_28_4,11,14 19 36 30 42 21 32 20 26 37 44,5600,5600,5600,2
274,grid_7_rand_14_2,11,14 19 36 30 42 21 32 20 26 37 44,3600,3600,3600,2
275,grid_7_rand_28_2,11,14 19 36 30 42 21 32 20 26 37 44,5800,5800,5800,2
276,grid_7_rand_21_0,11,14 19 36 30 42 21 32 20 26 37 44,3400,3400,3400,1
277,grid_7_rand_21_4,11,14 19 36 30 42 21 32 20 26 37 44,3600,3600,3600,1
278,grid_7_rand_28_3,11,14 19 36 30 42 21 32 20 26 37 44,5000,5000,5000,1
279,grid_7_rand_14_0,11,14 19 36 30 42 21 32 20 26 37 44,3000,3000,3400,2
280,grid_7_rand_7_2,11,14 19 36 30 42 21 32 20 26 37 44,3200,3200,3200,2
281,grid_7_rand_7_0,11,14 19 36 30 42 21 32 20 26 37 44,2800,2800,2800,2
282,grid_7_rand_21_1,11,14 19 36 30 42 21 32 20 26 37 44,4000,4000,4000,2
283,grid_7_rand_14_4,11,14 19 36 30 42 21 32 20 26 37 44,3000,3000,3000,2
284,grid_7_rand_21_2,11,14 19 36 30 42 21 32 20 26 37 44,3400,3400,3400,1
285,grid_7_rand_7_3,11,14 19 36 30 42 21 32 20 26 37 44,2800,2800,2800,2
286,grid_7_rand_7_1,11,14 19 36 30 42 21 32 20 26 37 44,2800,3000,2800,2
287,grid_7_rand_28_0,11,14 19 36 30 42 21 32 20 26 37 44,5200,5200,5200,1
288,grid_7_rand_14_3,11,14 19 36 30 42 21 32 20 26 37 44,3200,3200,3200,1
289,grid_7_rand_14_1,11,14 19 36 30 42 21 32 20 26 37 44,3000,3200,3000,2
290,grid_7_rand_7_4,11,14 19 36 30 42 21 32 20 26 37 44,2800,2800,2800,3
291,grid_7_rand_21_3,11,14 19 36 30 42 21 32 20 26 37 44,3400,3400,3400,1
292,grid_7_7,11,14 19 36 30 42 21 32 20 26 37 44,2600,2800,2600,2
293,grid_7_rand_28_1,11,14 19 36 30 42 21 32 20 26 37 44,5200,5200,5200,1
294,grid_7_rand_28_4,12,33 43 12 46 18 19 13 22 41 9 7 3,5800,5800,5800,2
295,grid_7_rand_14_2,12,33 43 12 46 18 19 13 22 41 9 7 3,3400,3400,3400,1
296,grid_7_rand_28_2,12,33 43 12 46 18 19 13 22 41 9 7 3,6200,6200,6200,1
297,grid_7_rand_21_0,12,33 43 12 46 18 19 13 22 41 9 7 3,3800,3800,3800,2
